time,accel,temperature,pressure
13000,9.80966567993164,38.6875,102028.0
13050,9.872628211975098,38.6875,102037.75
13100,9.862651824951172,38.6875,102009.75
13150,9.881487846374512,38.625,102040.5
13200,9.867969512939453,38.75,102019.75
13250,9.855265617370605,38.8125,102042.0
13300,9.815179824829102,38.6875,102026.0
13350,9.82375431060791,38.625,102031.0
13400,9.815577507019043,38.6875,102039.0
13450,9.808183670043945,38.5625,102024.75
13500,9.816412925720215,38.625,101989.75
13550,9.865403175354004,38.6875,102036.25
13600,9.840359687805176,38.5,102022.0
13650,9.834839820861816,38.75,102054.0
13700,9.855427742004395,38.625,102016.25
13750,9.821924209594727,38.625,101968.5
13800,9.821728706359863,38.5625,102003.0
13850,9.79539680480957,38.625,102023.25
13900,9.798345565795898,38.625,102016.75
13950,9.824376106262207,38.75,102023.0
14000,9.837697982788086,38.8125,101980.25
14050,9.853453636169434,38.6875,102039.5
14100,9.856822967529297,38.6875,102002.5
14150,9.820318222045898,38.75,102039.0
14200,9.814783096313477,38.625,102032.75
14250,9.818754196166992,38.625,101988.5
14300,9.810806274414062,38.625,102019.75
14350,9.809465408325195,38.75,102012.25
14400,9.82836627960205,38.5625,102030.5
14450,9.835063934326172,38.5625,102008.25
14500,9.841519355773926,38.8125,102003.75
14550,9.824650764465332,38.75,102038.25
14600,9.820948600769043,38.75,102025.75
14650,9.825789451599121,38.6875,102029.25
14700,9.810361862182617,38.8125,102016.75
14750,9.821346282958984,38.8125,101996.0
14800,9.821444511413574,38.6875,102039.5
14850,9.841816902160645,38.6875,102032.0
14900,9.83603286743164,38.6875,102032.0
14950,9.824650764465332,38.8125,102008.25
15000,9.820318222045898,38.75,101991.25
15050,9.809759140014648,38.6875,102036.75
15100,9.812488555908203,38.6875,102005.25
15150,9.824469566345215,38.625,102030.5
15200,9.839692115783691,38.75,101997.0
15250,9.84127140045166,38.625,102028.75
15300,9.835082054138184,38.5625,102024.5
15350,9.8384428024292,38.75,102051.5
15400,9.832511901855469,38.6875,102019.25
15450,9.825075149536133,38.75,102028.75
15500,9.828570365905762,38.5625,102028.25
15550,9.81859016418457,38.6875,102030.5
15600,9.821313858032227,38.5625,102046.25
